,stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code,utm_x,utm_y,inside_munich
10454,Allgäuer Straße,611929.0,170233,48.08208,11.48515,,,685080.5939540912,5328410.746714062,True
10492,Allinger Straße,,222494,48.167595,11.410985,1.0,,679259.5780035483,5337738.979757441,True
10493,Allinger Straße,222494.0,131475,48.16761,11.411039,,,679263.5404067648,5337740.772783414,True
10494,Allinger Straße,222494.0,208188,48.167576,11.410913,,,679254.2913090306,5337736.700198854,True
10779,Alois-Hahn-Weg,,515493,48.105057,11.661758,1.0,,698144.0795593915,5331404.1438766895,True
10780,Alois-Hahn-Weg,515493.0,129476,48.10502,11.661651,,,698136.2572754985,5331399.756266387,True
10781,Alois-Hahn-Weg,515493.0,371642,48.105083,11.661866,,,698152.0185737339,5331407.311588962,True
10782,Alois-Wolfmüller-Straße,,606735,48.193417,11.608003,1.0,,693809.6142863426,5341087.071725898,True
10783,Alois-Wolfmüller-Straße,606735.0,46830,48.193764,11.608282,,,693829.0366289397,5341126.34016842,True
10784,Alois-Wolfmüller-Straße,606735.0,56169,48.193123,11.607725,,,693790.0659954667,5341053.696136317,True
12425,Alte Allee,,473945,48.163807,11.443252,1.0,,681671.8931324072,5337393.7526490735,True
12426,Alte Allee,473945.0,398373,48.16309,11.443576,,,681698.5166524079,5337314.832607956,True
12427,Alte Allee,473945.0,482989,48.163876,11.443764,,,681709.7173431141,5337402.631501114,True
12428,Alte Allee,473945.0,83146,48.163868,11.442722,,,681632.2712775066,5337399.279451018,True
12451,Alte Heide,,320475,48.179096,11.60317,1.0,,693504.4175598625,5339483.299130168,True
12452,Alte Heide,320475.0,19971,48.17863,11.602595,,,693463.4330187825,5339430.061491699,True
12453,Alte Heide,320475.0,342831,48.179886,11.604158,,,693574.8781888395,5339573.585798713,True
12454,Alte Heide,320475.0,347122,48.179737,11.603233,,,693506.6864617552,5339554.696428368,True
12455,Alte Heide,320475.0,35362,48.17859,11.602694,,,693470.9422026403,5339425.865296525,True
12456,Alte Heide,320475.0,561337,48.17896,11.603143,,,693502.9228002218,5339468.116540373,True
12457,Alte Heide,320475.0,642598,48.18006,11.604733,,,693616.9608123091,5339594.3723816825,True
13536,Altenburgstraße,,403736,48.147537,11.421872,1.0,,680139.2266162192,5335535.222524529,True
13537,Altenburgstraße,403736.0,182913,48.147064,11.421513,,,680114.1817294382,5335481.813173477,True
13538,Altenburgstraße,403736.0,458817,48.14757,11.421773,,,680131.7479199355,5335538.658111246,True
13539,Altenburgstraße,403736.0,632577,48.147507,11.42198,,,680147.3641959506,5335532.141450123,True
15039,Alter Messeplatz,,446434,48.134552,11.546307,1.0,,689441.8722218255,5334391.177601967,True
15040,Alter Messeplatz,446434.0,295936,48.134476,11.546361,,,689446.1691969056,5334382.864267735,True
15041,Alter Messeplatz,446434.0,69317,48.134636,11.546253,,,689437.5458138343,5334400.380031732,True
16484,Altöttinger Straße,,564287,48.126465,11.621819,1.0,,695090.0927588497,5333681.228032228,True
16485,Altöttinger Straße,564287.0,181678,48.126705,11.621981,,,695101.2367822903,5333708.3116107145,True
16486,Altöttinger Straße,564287.0,439225,48.12629,11.621631,,,695076.767797123,5333661.302343694,True
16865,Am Ausbesserungswerk,,125817,48.196884,11.604069,1.0,,693504.2245661513,5341462.465721634,True
16866,Am Ausbesserungswerk,125817.0,21378,48.196934,11.60397,,,693496.6802055448,5341467.773183227,True
16867,Am Ausbesserungswerk,125817.0,251129,48.19689,11.604158,,,693510.8149021956,5341463.356748394,True
16922,Am Blütenanger,,417508,48.20177,11.50644,1.0,,686232.3712425288,5341764.1626534285,True
16923,Am Blütenanger,417508.0,252591,48.201847,11.506251,,,686218.0500014412,5341772.262062197,True
16924,Am Blütenanger,417508.0,542456,48.201687,11.506691,,,686251.3206651984,5341755.546785167,True
17020,Am Durchblick,,435238,48.161003,11.478259,1.0,,684284.7667093109,5337165.461511101,True
17021,Am Durchblick,435238.0,150495,48.16094,11.478179,,,684279.0440319491,5337158.268035743,True
17022,Am Durchblick,435238.0,505254,48.161057,11.478295,,,684287.2499870931,5337171.549256833,True
17134,Am Gasteig,,283325,48.132816,11.591501,1.0,,692810.5024311241,5334310.581903409,True
17135,Am Gasteig,283325.0,404588,48.132862,11.591465,,,692807.6518796473,5334315.603893018,True
17136,Am Gasteig,283325.0,532961,48.132774,11.591528,,,692812.6684425137,5334305.981891245,True
17220,Am Hain,,283744,48.083244,11.680255,1.0,,699605.36826791,5329027.775587638,True
17221,Am Hain,283744.0,267466,48.08366,11.676787,,,699345.5092171713,5329065.01728879,True
17222,Am Hain,283744.0,510289,48.08333,11.680201,,,699601.0141357719,5329037.193078117,True
17223,Am Hain,283744.0,95333,48.08317,11.680291,,,699608.335553009,5329019.645020785,True
17241,Am Harras,,34120,48.117016,11.539659,1.0,,689011.6708876276,5332425.930398475,True
17242,Am Harras,34120.0,165626,48.116177,11.540037,,,689042.8807462357,5332333.616005818,True
17243,Am Harras,34120.0,174853,48.1172,11.540189,,,689050.4374180615,5332447.682091777,True
17244,Am Harras,34120.0,299184,48.11746,11.540207,,,689050.8225425303,5332476.621787886,True
17245,Am Harras,34120.0,607303,48.116924,11.539264,,,688982.6130566262,5332414.735221356,True
17246,Am Hart,,495957,48.19671,11.571828,1.0,,691109.2738487417,5341362.41247048,True
17247,Am Hart,495957.0,229763,48.19704,11.57172,,,691100.0211535291,5341398.819091016,True
17248,Am Hart,495957.0,344727,48.19676,11.57172,,,691101.0630498697,5341367.700648586,True
17249,Am Hart,495957.0,375569,48.19595,11.571765,,,691107.4207751729,5341277.791398648,True
17250,Am Hart,495957.0,621053,48.19719,11.571765,,,691102.8066059549,5341415.601636796,True
17251,Am Hart,495957.0,650613,48.196915,11.571864,,,691111.1859055304,5341385.28517994,True
17252,Am Hart,495957.0,664339,48.19595,11.571864,,,691114.7769017019,5341278.037699206,True
17253,Am Hart Süd,,478332,48.195034,11.572133,1.0,,691138.1737222056,5341176.905250076,True
17254,Am Hart Süd,478332.0,233954,48.194973,11.572071,,,691133.793781733,5341169.971610478,True
17255,Am Hart Süd,478332.0,292766,48.1951,11.572205,,,691143.2780986461,5341184.419462351,True
17277,Am Hedernfeld,,677473,48.11988,11.46907,1.0,,683748.2898162932,5332573.168578546,True
17278,Am Hedernfeld,677473.0,517563,48.11988,11.46907,,1,683748.2898162932,5332573.168578546,True
17279,Am Hedernfeld Nord,,633656,48.121853,11.472196,1.0,,683973.8625166432,5332799.914959923,True
17280,Am Hedernfeld Nord,633656.0,196201,48.121853,11.472196,,1,683973.8625166432,5332799.914959923,True
17326,Am Hochacker,,224526,48.105556,11.667768,1.0,,698589.5121298728,5331475.098834936,True
