,stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type,platform_code,utm_x,utm_y,inside_munich
12313,Alte Heide,325494.0,70318,48.17896,11.603143,,,693502.9228002218,5339468.116540373,True
13391,Altenburgstraße,244362.0,244098,48.14757,11.421773,,,680131.7479199355,5335538.658111246,True
13393,Altenburgstraße,244362.0,680914,48.147507,11.42198,,,680147.3641959506,5335532.141450123,True
14891,Alter Messeplatz,356627.0,62397,48.134636,11.546253,,,689437.5458138343,5334400.380031732,True
14892,Alter Messeplatz,356627.0,667408,48.134476,11.546361,,,689446.1691969056,5334382.864267735,True
16318,Altöttinger Straße,208311.0,194217,48.126705,11.621981,,,695101.2367822904,5333708.3116107145,True
16319,Altöttinger Straße,208311.0,279063,48.12629,11.621631,,,695076.767797123,5333661.302343694,True
16707,Am Ausbesserungswerk,631747.0,404406,48.19689,11.604158,,,693510.8149021956,5341463.356748394,True
16708,Am Ausbesserungswerk,631747.0,542539,48.196934,11.60397,,,693496.6802055448,5341467.773183227,True
16765,Am Blütenanger,477481.0,120093,48.201687,11.506691,,,686251.3206651984,5341755.546785167,True
16766,Am Blütenanger,477481.0,80039,48.201847,11.506251,,,686218.0500014412,5341772.262062197,True
16864,Am Durchblick,387793.0,407771,48.161057,11.478295,,,684287.2499870931,5337171.549256833,True
16865,Am Durchblick,387793.0,455350,48.16094,11.478179,,,684279.0440319491,5337158.268035743,True
16977,Am Gasteig,645885.0,135681,48.132862,11.591465,,,692807.6518796473,5334315.603893018,True
16978,Am Gasteig,645885.0,179427,48.132774,11.591528,,,692812.6684425137,5334305.981891245,True
17063,Am Hain,11441.0,192054,48.08317,11.680291,,,699608.335553009,5329019.645020785,True
17064,Am Hain,11441.0,402166,48.08333,11.680201,,,699601.0141357719,5329037.193078117,True
17087,Am Harras,317606.0,170897,48.116924,11.539264,,,688982.6130566262,5332414.735221356,True
17088,Am Harras,317606.0,377151,48.1172,11.540189,,,689050.4374180615,5332447.682091777,True
17089,Am Harras,317606.0,503602,48.116177,11.540037,,,689042.8807462357,5332333.616005818,True
17090,Am Harras,317606.0,618235,48.11746,11.540207,,,689050.8225425303,5332476.621787886,True
17092,Am Hart,488768.0,13794,48.19595,11.571765,,,691107.4207751729,5341277.791398648,True
17093,Am Hart,488768.0,177820,48.19704,11.57172,,,691100.0211535291,5341398.819091016,True
17094,Am Hart,488768.0,273803,48.19595,11.571864,,,691114.7769017019,5341278.037699206,True
17095,Am Hart,488768.0,36049,48.19719,11.571765,,,691102.8066059549,5341415.601636796,True
17096,Am Hart,488768.0,388228,48.19676,11.57172,,,691101.0630498697,5341367.700648586,True
17097,Am Hart,488768.0,584983,48.196915,11.571864,,,691111.1859055304,5341385.28517994,True
17099,Am Hart Süd,185758.0,132075,48.1951,11.572205,,,691143.2780986461,5341184.419462351,True
17100,Am Hart Süd,185758.0,464883,48.194973,11.572071,,,691133.793781733,5341169.971610478,True
17123,Am Hedernfeld,382665.0,60747,48.11988,11.46907,,1,683748.2898162932,5332573.168578546,True
17125,Am Hedernfeld Nord,678279.0,457139,48.121853,11.472196,,1,683973.8625166432,5332799.914959923,True
17172,Am Hochacker,654655.0,189881,48.10591,11.668361,,,698632.2869593092,5331515.971733463,True
